corpus,split,source_file,sent_id,head_id,head_lemma,upos,xpos,head_deprel,feats,has_voice_pass,has_nsubj_pass,has_obl_agent,aux_pass_lemmas,aux_lemmas,cop_lemmas,participle_like,parent_id,parent_form,parent_deprel,head_children,provisional_streams,sampling_stream,sample_set,sample_rank,candidate_id,comparison_type,head_form,sentence,sentence_marked,pilot_pack,pilot_corpus,pilot_class,pilot_stream,pilot_item_id,pilot_order_first,pilot_order_second
comparison,constructed,study1_comparison_item_bank.csv,cmp-getadj-001,3,drunk,ADJ,JJ,,,,,,,,,,,,,2:nsubj:he;2:root:got,comparison_construction,comparison_construction,boundary_comparison_candidate,,cmp-getadj-001,get_adjective,drunk,He got drunk.,He got [[drunk]].,boundary_probe,comparison,foil,comparison_construction,BP001,2,10
comparison,constructed,study1_comparison_item_bank.csv,cmp-middle-001,3,spread,VERB,VBZ,,,,,,,,,,,,,2:nsubj:butter;4:advmod:easily,comparison_construction,comparison_construction,boundary_comparison_candidate,,cmp-middle-001,middle,spreads,The butter spreads easily.,The butter [[spreads]] easily.,boundary_probe,comparison,foil,comparison_construction,BP002,13,5
comparison,constructed,study1_comparison_item_bank.csv,cmp-middle-002,3,wash,VERB,VBZ,,,,,,,,,,,,,2:nsubj:shirt;4:advmod:well,comparison_construction,comparison_construction,boundary_comparison_candidate,,cmp-middle-002,middle,washes,This shirt washes well.,This shirt [[washes]] well.,boundary_probe,comparison,foil,comparison_construction,BP003,11,13
comparison,constructed,study1_comparison_item_bank.csv,cmp-needs-001,4,paint,VERB,VBG,,,,,,,,,,,,,2:nsubj:house;3:root:needs,comparison_construction,comparison_construction,boundary_comparison_candidate,,cmp-needs-001,needs_washing,painting,The house needs painting.,The house needs [[painting]].,boundary_probe,comparison,foil,comparison_construction,BP004,9,4
comparison,constructed,study1_comparison_item_bank.csv,cmp-tough-001,4,easy,ADJ,JJ,,,,,,,,,,,,,2:nsubj:book;6:xcomp:read,comparison_construction,comparison_construction,boundary_comparison_candidate,,cmp-tough-001,tough_construction,easy,This book is easy to read.,This book is [[easy]] to read.,boundary_probe,comparison,foil,comparison_construction,BP005,12,6
comparison,constructed,study1_comparison_item_bank.csv,cmp-tough-002,4,hard,ADJ,JJ,,,,,,,,,,,,,2:nsubj:report;6:xcomp:understand,comparison_construction,comparison_construction,boundary_comparison_candidate,,cmp-tough-002,tough_construction,hard,That report is hard to understand.,That report is [[hard]] to understand.,boundary_probe,comparison,foil,comparison_construction,BP006,7,15
comparison,constructed,study1_comparison_item_bank.csv,cmp-unacc-001,3,open,VERB,VBD,,,,,,,,,,,,,2:nsubj:door,comparison_construction,comparison_construction,boundary_comparison_candidate,,cmp-unacc-001,unaccusative_anticausative,opened,The door opened.,The door [[opened]].,boundary_probe,comparison,foil,comparison_construction,BP007,10,12
comparison,constructed,study1_comparison_item_bank.csv,cmp-unacc-002,3,die,VERB,VBD,,,,,,,,,,,,,2:nsubj:people;1:nummod:Twenty,comparison_construction,comparison_construction,boundary_comparison_candidate,,cmp-unacc-002,unaccusative_anticausative,died,Twenty people died.,Twenty people [[died]].,boundary_probe,comparison,foil,comparison_construction,BP008,6,1
ewt,train,en_ewt-ud-train.conllu,answers-20111108092643AAXe4lD_ans-0015,7,hold,VERB,VBN,xcomp,Tense=Past|VerbForm=Part|Voice=Pass,1,0,0,be,_,_,1,4,want,root,5:mark:to;6:aux:pass:be;9:conj:touched,passive_ledger;peripheral_manual_probe,peripheral_manual_probe,analytic_peripheral_candidate,18,ewt|train|answers-20111108092643AAXe4lD_ans-0015|7,,held,They dont want to be held or touched.,They do nt want to be [[held]] or touched .,boundary_probe,ewt,peripheral,peripheral_manual_probe,BP009,15,14
ewt,train,en_ewt-ud-train.conllu,answers-20111108104551AAVAVQR_ans-0023,25,attack,VERB,VBN,advcl,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,get,_,_,1,16,fit,parataxis,22:mark:if;23:nsubj:pass:it;24:aux:pass:gets,passive_ledger;peripheral_get,peripheral_get,analytic_peripheral_candidate,37,ewt|train|answers-20111108104551AAVAVQR_ans-0023|25,,attacked,They may not respond right away and they may fight so ther smaller one can fit in one of hide spaces if it gets attacked.,They may not respond right away and they may fight so ther smaller one can fit in one of hide spaces if it gets [[attacked]] .,boundary_probe,ewt,peripheral,peripheral_get,BP010,3,3
