candidate_id,sentence_marked,sentence,head_form,head_children,family_status,peripheral_subtype,auxiliary_type,participial_predicate,agent_realization,promotion_type,eventive_stative,syntactic_environment,subject_role_profile,notes,pilot_order
gum|train|GUM_interview_brotherhood-5|7,For how long have you been [[involved]] in performing / studying magic ?,For how long have you been involved in performing / studying magic?,involved,3:obl:long;4:aux:have;5:nsubj:pass:you;6:aux:pass:been;9:advcl:performing;13:punct:?,,,,,,,,,,,1
ewt|train|weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0036|22,"So , one answer to Bush 's charge about Edwards is that if it had any merit , Bush should have [[declined]] to run himself .","So, one answer to Bush's charge about Edwards is that if it had any merit, Bush should have declined to run himself.",declined,1:advmod:So;4:nsubj:outer:answer;11:cop:is;12:mark:that;15:advcl:had;19:nsubj:Bush;20:aux:should;21:aux:have;24:xcomp:run;26:punct:.,,,,,,,,,,,2
ewt|dev|reviews-009775-0002|6,The smokehouse ca n't be [[beat]] anywhere .,The smokehouse can't be beat anywhere.,beat,2:nsubj:pass:smokehouse;3:aux:ca;4:advmod:n't;5:aux:pass:be;7:advmod:anywhere;8:punct:.,,,,,,,,,,,3
ewt|test|newsgroup-groups.google.com_IndiaNewsWindow_8945cbef01f41435_ENG_20051113_092500-0004|9,"He said Mr Dar , 33 , was [[arrested]] in Indian - administered Kashmir and belonged to the outlawed Lashkar - e - Toiba militant group .","He said Mr Dar, 33, was arrested in Indian-administered Kashmir and belonged to the outlawed Lashkar-e-Toiba militant group.",arrested,4:nsubj:pass:Dar;8:aux:pass:was;14:obl:Kashmir;16:conj:belonged,,,,,,,,,,,4
gum|train|GUM_court_property-50|22,"I 'm not sure I get that , or how I see it 's consistent with the cases that have been [[cited]] to us .","I'm not sure I get that, or how I see it's consistent with the cases that have been cited to us.",cited,19:nsubj:pass:that;20:aux:have;21:aux:pass:been;24:obl:us,,,,,,,,,,,5
gum|train|GUM_fiction_wedding-40|26,Prince Hermes : Now after humankind has suffered so much harm here I flow having by god ’s counsel and with the help of art [[become]] a healing balm .,Prince Hermes: Now after humankind has suffered so much harm here I flow having by god’s counsel and with the help of art become a healing balm.,become,15:aux:having;19:obl:counsel;29:xcomp:balm,,,,,,,,,,,6
gum|train|GUM_bio_marbles-37|6,The toys ' appearances are [[based]] upon her real dogs . [ 7 ],The toys' appearances are based upon her real dogs. [7],based,4:nsubj:pass:appearances;5:aux:pass:are;10:obl:dogs;11:punct:.;13:dep:7,,,,,,,,,,,7
ewt|train|newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0101|14,0 - Number of memorial services for the returned dead that Bush has [[attended]] since the beginning of the war .,0 - Number of memorial services for the returned dead that Bush has attended since the beginning of the war.,attended,11:obj:that;12:nsubj:Bush;13:aux:has;17:obl:beginning,,,,,,,,,,,8
gum|train|GUM_court_fire-52|16,"And then their defense is , well , she should n't have she should have [[sought]] out alternative routes , number one .","And then their defense is, well, she shouldn't have she should have sought out alternative routes, number one.",sought,1:cc:And;2:advmod:then;4:nsubj:outer:defense;5:cop:is;7:discourse:well;12:reparandum:have;13:nsubj:she;14:aux:should;15:aux:have;17:compound:prt:out;19:obj:routes;21:parataxis:number;23:punct:.,,,,,,,,,,,9
ewt|train|weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0004|20,"These are 1 ) Assassinate or overthrow Gen. Pervez Musharraf , the Pakistani military "" president "" who had [[made]] a coup in 1999 and has thrown in his lot with the United States against the Taliban and al - Qaeda .","These are 1) Assassinate or overthrow Gen. Pervez Musharraf, the Pakistani military ""president"" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al-Qaeda.",made,18:nsubj:who;19:aux:had;22:obj:coup;24:obl:1999;27:conj:thrown,,,,,,,,,,,10
ewt|train|weblog-blogspot.com_dakbangla_20041028153019_ENG_20041028_153019-0020|20,"Unreported by the international media , the Valley of Kashmir has seen an ethnic and cultural genocide that has [[resulted]] in the fleeing from the valley of almost all the Hindu families who have been living there since human habitation was first recorded .","Unreported by the international media, the Valley of Kashmir has seen an ethnic and cultural genocide that has resulted in the fleeing from the valley of almost all the Hindu families who have been living there since human habitation was first recorded.",resulted,18:nsubj:that;19:aux:has;23:obl:fleeing,,,,,,,,,,,11
gum|dev|GUM_fiction_lunre-6|12,"The day began as it usually did when my father was [[expected]] home from his travels , the house festooned with flowers and stocked with coconut liquor .","The day began as it usually did when my father was expected home from his travels, the house festooned with flowers and stocked with coconut liquor.",expected,8:advmod:when;10:nsubj:pass:father;11:aux:pass:was;13:advmod:home;16:obl:travels,,,,,,,,,,,12
